number,business_name,website
#QUERY,orthopedic surgeons in alabama,2026-06-26 20:23:04
#QUERY,orthopedic clinics in alabama,2026-06-26 20:24:54
,OrthoAlabama Spine & Sports,https://www.orthoalabama.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite
+12052287600,Alabama Bone & Joint Clinic,https://www.orthoalabama.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite
+12056213778,The Orthopaedic Center,https://alabamaboneandjoint.com/
+12056213778,St Vincent’s Orthopedics,https://alabamaboneandjoint.com/
+12056213778,Hughston Clinic Montgomery (Lomac),https://alabamaboneandjoint.com/
+13342749000,Southlake Orthopaedics,https://al.hughston.com/locations/montgomery-lomac/?utm_source=GMB&utm_medium=MontgomeryLomacClinic
+13342749000,Hughston Clinic Montgomery (Pavilion),https://al.hughston.com/locations/montgomery-lomac/?utm_source=GMB&utm_medium=MontgomeryLomacClinic
+13342749000,"The Orthopaedic Clinic, P.C.",https://al.hughston.com/locations/montgomery-lomac/?utm_source=GMB&utm_medium=MontgomeryLomacClinic
+13347498303,Hughston Clinic Montgomery,http://theorthoclinic.com/
+13347498303,Urgent Ortho by Southern Orthopaedic Surgeons,http://theorthoclinic.com/
+13347498303,Alabama Orthopedic Specialists,http://theorthoclinic.com/
+13347498303,"The Orthopaedic Group, P.C.",http://theorthoclinic.com/
+12514765050,Southern Orthopaedic Surgeons,http://www.theorthogroup.com/contact/airport-boulevard/
+12514765050,OrthoASAP Walk-In Clinic,http://www.theorthogroup.com/contact/airport-boulevard/
+12514765050,Baptist OrthoNow,http://www.theorthogroup.com/contact/airport-boulevard/
+12514765050,SportsMED Urgent Ortho Clinic,http://www.theorthogroup.com/contact/airport-boulevard/
+12565738271,OS1 Orthopedic & Sports Injury Clinic - Madison,https://sportsmedalabama.com/urgent-care/?utm_source=GMBSocialClimb&utm_medium=SportsMEDUrgentOrthoClinic
+12565738271,University Orthopaedic Clinic,https://sportsmedalabama.com/urgent-care/?utm_source=GMBSocialClimb&utm_medium=SportsMEDUrgentOrthoClinic
+12565738271,Alabama Orthopedic Clinic,https://sportsmedalabama.com/urgent-care/?utm_source=GMBSocialClimb&utm_medium=SportsMEDUrgentOrthoClinic
+12565738271,DOC Orthopaedics and Sports Medicine,https://sportsmedalabama.com/urgent-care/?utm_source=GMBSocialClimb&utm_medium=SportsMEDUrgentOrthoClinic
+12565738271,OS1 Orthopedic & Sports Injury Clinic - Trussville,https://sportsmedalabama.com/urgent-care/?utm_source=GMBSocialClimb&utm_medium=SportsMEDUrgentOrthoClinic
+12059465741,Andrews Sports Medicine,https://www.bettersooner.com/
+12059465741,Orthopaedics Services,https://www.bettersooner.com/
+12059465741,OS1 Orthopedic & Sports Injury Clinic - Hoover,https://www.bettersooner.com/
+12053522911,Alabama Orthopedic Center PC,https://bettersooner.com/
+12053522911,"Hughston Clinic - Hussein W. Turki, M.D.",https://bettersooner.com/
+13342749000,"Hughston Clinic - Charles W. Hartzog, Jr., M.D.","https://al.hughston.com/providers/turki/?utm_source=GMB&utm_medium=HusseinTurki,MD&utm_campaign=MontgomeryPavilion"
+13342749000,SportsMED,"https://al.hughston.com/providers/turki/?utm_source=GMB&utm_medium=HusseinTurki,MD&utm_campaign=MontgomeryPavilion"
+12568815151,Northeast Orthopedic,https://www.sportsmedalabama.com/?utm_source=GMBSocialClimb&utm_medium=SportsMEDOrthopedicSurgery%26SpineCenter
,OrthoCarolina Winston-Salem,https://www.orthocarolina.com/locations/winston-salem?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaWinston-Salem
+13367681270,OrthoNC: Wakefield-Wake Forest Orthopaedic Clinic,https://www.orthocarolina.com/locations/winston-salem?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaWinston-Salem
+19195629410,OrthoCarolina Hip & Knee Center,https://orthonc.com/locations/wakefield-wakeforest
+19195629410,OrthoNC: Henderson Orthopaedic Clinic,https://orthonc.com/henderson-location
+19195629410,OrthoCarolina University,https://orthonc.com/henderson-location
+17043232100,The Bone and Joint Surgery Clinic,https://www.orthocarolina.com/locations/university?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaUniversity
+17043232100,OrthoCarolina Belmont,https://www.orthocarolina.com/locations/university?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaUniversity
+17043232100,Raleigh Orthopaedic Clinic: Raleigh Office,https://www.orthocarolina.com/locations/university?utm_source=GMBSocialClimb&utm_medium=OrthoCarolinaUniversity
+19197815600,Atrium Health Piedmont Orthopedic Specialists,https://www.raleighortho.com/locations/raleigh/?utm_source=gbp&utm_medium=organic&utm_campaign=GBP&utm_id=ROCR
+19197815600,Raleigh Orthopaedic Surgery Center,https://www.raleighortho.com/locations/raleigh/?utm_source=gbp&utm_medium=organic&utm_campaign=GBP&utm_id=ROCR
+19197815600,OrthoCarolina Gastonia,https://www.raleighortho.com/locations/raleigh/?utm_source=gbp&utm_medium=organic&utm_campaign=GBP&utm_id=ROCR
